Geo Code,Geo Name,Line Number
"450020000","0200.00",1399883
"450020100","0201.00",1402130
"450020200","0202.00",1404377
"462","Montréal",1406624
"462000100","0001.00",1408871
"462000200","0002.00",1411118
"462000300","0003.00",1413365
"462000400","0004.00",1415612
"462000500","0005.00",1417859
"462000600","0006.00",1420106
"462000700","0007.00",1422353
"462000800","0008.00",1424600
"462000900","0009.00",1426847
"462001000","0010.00",1429094
"462001100","0011.00",1431341
"462001201","0012.01",1433588
"462001202","0012.02",1435835
"462001300","0013.00",1438082
"462001401","0014.01",1440329
"462001402","0014.02",1442576
"462001500","0015.00",1444823
"462001600","0016.00",1447070
"462001700","0017.00",1449317
"462001800","0018.00",1451564
"462001900","0019.00",1453811
"462002100","0021.00",1456058
"462002200","0022.00",1458305
"462002300","0023.00",1460552
"462002400","0024.00",1462799
"462002500","0025.00",1465046
"462002600","0026.00",1467293
"462002700","0027.00",1469540
"462002800","0028.00",1471787
"462002900","0029.00",1474034
"462003000","0030.00",1476281
"462003100","0031.00",1478528
"462003200","0032.00",1480775
"462003300","0033.00",1483022
"462003400","0034.00",1485269
"462003500","0035.00",1487516
"462003600","0036.00",1489763
"462003700","0037.00",1492010
"462003800","0038.00",1494257
"462003900","0039.00",1496504
"462004000","0040.00",1498751
"462004100","0041.00",1500998
"462004200","0042.00",1503245
"462004300","0043.00",1505492
"462004400","0044.00",1507739
"462004500","0045.00",1509986
"462004600","0046.00",1512233
"462004700","0047.00",1514480
"462004800","0048.00",1516727
"462004900","0049.00",1518974
"462005000","0050.00",1521221
"462005100","0051.00",1523468
"462005200","0052.00",1525715
"462005300","0053.00",1527962
"462005400","0054.00",1530209
"462005501","0055.01",1532456
"462005502","0055.02",1534703
"462005600","0056.00",1536950
"462005700","0057.00",1539197
"462005800","0058.00",1541444
"462005900","0059.00",1543691
"462006000","0060.00",1545938
"462006100","0061.00",1548185
"462006200","0062.00",1550432
"462006300","0063.00",1552679
"462006400","0064.00",1554926
"462006501","0065.01",1557173
"462006502","0065.02",1559420
"462006601","0066.01",1561667
"462006602","0066.02",1563914
"462006700","0067.00",1566161
"462006800","0068.00",1568408
"462006901","0069.01",1570655
"462006902","0069.02",1572902
"462007001","0070.01",1575149
"462007002","0070.02",1577396
"462007100","0071.00",1579643
"462007200","0072.00",1581890
"462007300","0073.00",1584137
"462007400","0074.00",1586384
"462007500","0075.00",1588631
"462007600","0076.00",1590878
"462007700","0077.00",1593125
"462007800","0078.00",1595372
"462007900","0079.00",1597619
"462008000","0080.00",1599866
"462008100","0081.00",1602113
"462008200","0082.00",1604360
"462008300","0083.00",1606607
"462008400","0084.00",1608854
"462008500","0085.00",1611101
"462008600","0086.00",1613348
"462008700","0087.00",1615595
"462008800","0088.00",1617842
"462008900","0089.00",1620089
"462009000","0090.00",1622336
"462009100","0091.00",1624583
"462009200","0092.00",1626830
"462009300","0093.00",1629077
"462009401","0094.01",1631324
"462009402","0094.02",1633571
"462009500","0095.00",1635818
"462009600","0096.00",1638065
"462009701","0097.01",1640312
"462009702","0097.02",1642559
"462009800","0098.00",1644806
"462009900","0099.00",1647053
"462010001","0100.01",1649300
"462010002","0100.02",1651547
"462010101","0101.01",1653794
"462010102","0101.02",1656041
"462010200","0102.00",1658288
"462010300","0103.00",1660535
"462010400","0104.00",1662782
"462010500","0105.00",1665029
"462010600","0106.00",1667276
"462010700","0107.00",1669523
"462010800","0108.00",1671770
"462010900","0109.00",1674017
"462011000","0110.00",1676264
"462011100","0111.00",1678511
"462011201","0112.01",1680758
"462011202","0112.02",1683005
"462011300","0113.00",1685252
"462011400","0114.00",1687499
"462011501","0115.01",1689746
"462011502","0115.02",1691993
"462011600","0116.00",1694240
"462011700","0117.00",1696487
"462011800","0118.00",1698734
"462011900","0119.00",1700981
"462012001","0120.01",1703228
"462012002","0120.02",1705475
"462012100","0121.00",1707722
"462012200","0122.00",1709969
"462012300","0123.00",1712216
"462012400","0124.00",1714463
"462012500","0125.00",1716710
"462012600","0126.00",1718957
"462012701","0127.01",1721204
"462012702","0127.02",1723451
"462012800","0128.00",1725698
"462012901","0129.01",1727945
"462012902","0129.02",1730192
"462013000","0130.00",1732439
"462013100","0131.00",1734686
"462013200","0132.00",1736933
"462013300","0133.00",1739180
"462013400","0134.00",1741427
"462013500","0135.00",1743674
"462013600","0136.00",1745921
"462013700","0137.00",1748168
"462013800","0138.00",1750415
"462013900","0139.00",1752662
"462014000","0140.00",1754909
"462014100","0141.00",1757156
"462014200","0142.00",1759403
"462014300","0143.00",1761650
"462014400","0144.00",1763897
"462014500","0145.00",1766144
"462014600","0146.00",1768391
"462014700","0147.00",1770638
"462014800","0148.00",1772885
"462014900","0149.00",1775132
"462015000","0150.00",1777379
"462015100","0151.00",1779626
"462015200","0152.00",1781873
"462015300","0153.00",1784120
"462015400","0154.00",1786367
"462015500","0155.00",1788614
"462015600","0156.00",1790861
"462015700","0157.00",1793108
"462015800","0158.00",1795355
"462015900","0159.00",1797602
"462016000","0160.00",1799849
"462016100","0161.00",1802096
"462016200","0162.00",1804343
"462016300","0163.00",1806590
"462016400","0164.00",1808837
"462016500","0165.00",1811084
"462016600","0166.00",1813331
"462016700","0167.00",1815578
"462016800","0168.00",1817825
"462016900","0169.00",1820072
"462017000","0170.00",1822319
"462017100","0171.00",1824566
"462017200","0172.00",1826813
"462017300","0173.00",1829060
"462017400","0174.00",1831307
"462017500","0175.00",1833554
"462017600","0176.00",1835801
"462017700","0177.00",1838048
"462017800","0178.00",1840295
"462017900","0179.00",1842542
"462018000","0180.00",1844789
"462018100","0181.00",1847036
"462018200","0182.00",1849283
"462018300","0183.00",1851530
"462018400","0184.00",1853777
"462018500","0185.00",1856024
"462018600","0186.00",1858271
"462018701","0187.01",1860518
"462018703","0187.03",1862765
"462018704","0187.04",1865012
"462018801","0188.01",1867259
"462018802","0188.02",1869506
"462018900","0189.00",1871753
"462019001","0190.01",1874000
"462019002","0190.02",1876247
"462019100","0191.00",1878494
"462019200","0192.00",1880741
"462019300","0193.00",1882988
"462019400","0194.00",1885235
"462019501","0195.01",1887482
"462019502","0195.02",1889729
"462019503","0195.03",1891976
"462019600","0196.00",1894223
"462019700","0197.00",1896470
"462019800","0198.00",1898717
"462019900","0199.00",1900964
"462020000","0200.00",1903211
"462020100","0201.00",1905458
"462020200","0202.00",1907705
"462020300","0203.00",1909952
"462020400","0204.00",1912199
"462020500","0205.00",1914446
"462020600","0206.00",1916693
"462020700","0207.00",1918940
"462020800","0208.00",1921187
"462020900","0209.00",1923434
"462021000","0210.00",1925681
"462021100","0211.00",1927928
"462021200","0212.00",1930175
"462021300","0213.00",1932422
"462021400","0214.00",1934669
"462021500","0215.00",1936916
"462021600","0216.00",1939163
"462021700","0217.00",1941410
"462021800","0218.00",1943657
"462021900","0219.00",1945904
"462022000","0220.00",1948151
"462022100","0221.00",1950398
"462022200","0222.00",1952645
"462022301","0223.01",1954892
"462022302","0223.02",1957139
"462022400","0224.00",1959386
"462022500","0225.00",1961633
"462022600","0226.00",1963880
"462022700","0227.00",1966127
"462022800","0228.00",1968374
"462022900","0229.00",1970621
"462023000","0230.00",1972868
"462023100","0231.00",1975115
"462023200","0232.00",1977362
"462023300","0233.00",1979609
"462023400","0234.00",1981856
"462023500","0235.00",1984103
"462023600","0236.00",1986350
"462023700","0237.00",1988597
"462023800","0238.00",1990844
"462023900","0239.00",1993091
"462024000","0240.00",1995338
"462024100","0241.00",1997585
"462024200","0242.00",1999832
"462024300","0243.00",2002079
"462024400","0244.00",2004326
"462024500","0245.00",2006573
"462024700","0247.00",2008820
"462024900","0249.00",2011067
"462025000","0250.00",2013314
"462025101","0251.01",2015561
"462025102","0251.02",2017808
"462025200","0252.00",2020055
"462025300","0253.00",2022302
"462025400","0254.00",2024549
"462025600","0256.00",2026796
"462025700","0257.00",2029043
"462025800","0258.00",2031290
"462025900","0259.00",2033537
"462026000","0260.00",2035784
"462026100","0261.00",2038031
"462026200","0262.00",2040278
"462026300","0263.00",2042525
"462026401","0264.01",2044772
"462026402","0264.02",2047019
"462026500","0265.00",2049266
"462026600","0266.00",2051513
"462026700","0267.00",2053760
"462026801","0268.01",2056007
"462026802","0268.02",2058254
"462026803","0268.03",2060501
"462026900","0269.00",2062748
"462027000","0270.00",2064995
"462027100","0271.00",2067242
"462027200","0272.00",2069489
"462027300","0273.00",2071736
"462027400","0274.00",2073983
"462027500","0275.00",2076230
"462027600","0276.00",2078477
"462027700","0277.00",2080724
"462027800","0278.00",2082971
"462027900","0279.00",2085218
"462028000","0280.00",2087465
"462028100","0281.00",2089712
"462028200","0282.00",2091959
"462028301","0283.01",2094206
"462028302","0283.02",2096453
"462028400","0284.00",2098700
"462028500","0285.00",2100947
"462028600","0286.00",2103194
"462028701","0287.01",2105441
"462028702","0287.02",2107688
"462028800","0288.00",2109935
"462029001","0290.01",2112182
"462029002","0290.02",2114429
"462029003","0290.03",2116676
"462029004","0290.04",2118923
"462029005","0290.05",2121170
"462029006","0290.06",2123417
"462029007","0290.07",2125664
"462029008","0290.08",2127911
"462029009","0290.09",2130158
"462029101","0291.01",2132405
"462029103","0291.03",2134652
"462029104","0291.04",2136899
"462030000","0300.00",2139146
"462030100","0301.00",2141393
"462030200","0302.00",2143640
"462030300","0303.00",2145887
"462030400","0304.00",2148134
"462030500","0305.00",2150381
"462030600","0306.00",2152628
"462030700","0307.00",2154875
"462030800","0308.00",2157122
"462030900","0309.00",2159369
"462031000","0310.00",2161616
"462031100","0311.00",2163863
"462031200","0312.00",2166110
"462031300","0313.00",2168357
"462031400","0314.00",2170604
"462031500","0315.00",2172851
"462031600","0316.00",2175098
"462031702","0317.02",2177345
"462031703","0317.03",2179592
"462031704","0317.04",2181839
"462032000","0320.00",2184086
"462032100","0321.00",2186333
"462032202","0322.02",2188580
"462032203","0322.03",2190827
"462032204","0322.04",2193074
"462032300","0323.00",2195321
"462032401","0324.01",2197568
"462032402","0324.02",2199815
"462032501","0325.01",2202062
"462032502","0325.02",2204309
"462032503","0325.03",2206556
"462032505","0325.05",2208803
"462032506","0325.06",2211050
"462032601","0326.01",2213297
"462032602","0326.02",2215544
"462032603","0326.03",2217791
"462032700","0327.00",2220038
"462032800","0328.00",2222285
"462032900","0329.00",2224532
"462033000","0330.00",2226779
"462034000","0340.00",2229026
"462035000","0350.00",2231273
"462035100","0351.00",2233520
"462035200","0352.00",2235767
"462035300","0353.00",2238014
"462035400","0354.00",2240261
"462035500","0355.00",2242508
"462035600","0356.00",2244755
"462036000","0360.00",2247002
"462036100","0361.00",2249249
"462036200","0362.00",2251496
"462036300","0363.00",2253743
"462036400","0364.00",2255990
"462036500","0365.00",2258237
"462036600","0366.00",2260484
"462036700","0367.00",2262731
"462037000","0370.00",2264978
"462038000","0380.00",2267225
"462038100","0381.00",2269472
"462038201","0382.01",2271719
"462038202","0382.02",2273966
"462038301","0383.01",2276213
"462038302","0383.02",2278460
"462038500","0385.00",2280707
"462039000","0390.00",2282954
"462039100","0391.00",2285201
"462039200","0392.00",2287448
"462039300","0393.00",2289695
"462039400","0394.00",2291942
"462039501","0395.01",2294189
"462039502","0395.02",2296436
"462039503","0395.03",2298683
"462039600","0396.00",2300930
"462039700","0397.00",2303177
