OBJECTID,Row_Labels,Average_of,Average__1,comm,ind,ASSET_NAME,OBJECTID_1,ACREAGE,ACREAGE_1,AREA,PERCENTAGE
167,145,39.928040000000003,-75.168890000000005,0,0,A. Giuseppe DiSilvestro Playground,316,1.990736140000000,1.990736115687483,2.590418586326971,6.415249059757341
168,145,39.928040000000003,-75.168890000000005,0,0,South Philadelphia Community Health & Literacy Ctr,1041,0.866518640000000,0.866518789805616,1.127545508177882,2.792400154690188
169,148,39.933450000000001,-75.162279999999996,1,0,Columbus Square,235,4.111533470000000,1.354180621429077,1.762214896983173,4.363838658207017
170,148,39.933450000000001,-75.162279999999996,1,0,Columbus Square Building,487,0.100209910000000,0.100210105801300,0.130405543002619,0.322928123450508
171,148,39.933450000000001,-75.162279999999996,1,0,Columbus Square Restrooms,1118,0.028408040000000,0.020238222661440,0.026336135513933,0.065217157374068
172,148,39.933450000000001,-75.162279999999996,1,0,Dr. Nicola Capitolo Playground,236,4.091991230000000,1.412232409847311,1.837775692849392,4.550952683068790
173,148,39.933450000000001,-75.162279999999996,1,0,Dr. Nicola Capitolo Playground Community Garden,1334,0.191492940000000,0.034531609914794,0.044937235556771,0.111279757112088
174,148,39.933450000000001,-75.162279999999996,1,0,South Philadelphia Older Adults Center,314,1.875232310000000,0.828859082217764,1.078582754589253,2.670934815390419
175,148,39.933450000000001,-75.162279999999996,1,0,South Philadelphia Older Adults Center Building,482,0.250605260000000,0.001109542547359,0.001443830206167,0.003575410740396
176,148,39.933450000000001,-75.162279999999996,1,0,South Philadelphia Older Adults Center Garden,1336,0.120736360000000,0.030231227403195,0.039339463558322,0.097417784949398
177,151,39.934139999999999,-75.167559999999995,0,0,Columbus Square,235,4.111533470000000,0.135446653610134,0.176258696189590,0.436471693221092
178,154,39.950550000000000,-75.148920000000004,1,0,Ben-Gurion Place,1309,0.387166130000000,0.387164605172862,0.503956154102779,1.247658545132484
179,154,39.950550000000000,-75.148920000000004,1,0,Commerce Street Walk,1310,0.372665540000000,0.128227896103246,0.166908819024177,0.413220897528746
180,158,39.927610000000001,-75.187659999999994,0,1,Smith Playground,111,7.590754960000000,2.223910680797620,2.893680438072455,7.166330681383394
181,165,39.940809999999999,-75.166120000000006,0,0,Ridgway Park,264,1.015508800000000,0.267875644866598,0.348621926777135,0.863214196932468
182,170,39.961649999999999,-75.154529999999994,0,0,10th & Lemon Playground,18,0.218346060000000,0.040536167041273,0.052773843535430,0.130632836916427
183,174,39.943179999999998,-75.168940000000006,0,0,Marian Anderson Recreation Center,177,3.360903470000000,0.090356471688877,0.117597475630767,0.291170285954702
184,174,39.943179999999998,-75.168940000000006,0,0,Ryan Howard Training Center,1129,0.173793620000000,0.014362492503037,0.018692617678887,0.046282752292170
