OBJECTID,Row_Labels,Average_of,Average__1,Comm,ACRES,SITE_NAME,OBJECTID_1,ACRES_1,AREA,PERCENTAGE
150,29,42.248550000000002,-71.126959999999997,0,2.714762450000000,Truman Parkway,8316,0.541177081194682,0.729193216182812,0.435889828704360
151,29,42.248550000000002,-71.126959999999997,0,5.779952470000000,Martini Playground,8214,1.394232075976529,1.878462848781682,1.122888736772991
152,29,42.248550000000002,-71.126959999999997,0,7.185713250000000,Moynihan Playground,7961,0.227267104735948,0.306199931221310,0.183037132830213
153,29,42.248550000000002,-71.126959999999997,0,8.699999999999999,Reservation Road Park,8216,8.699999897358241,12.568062873603186,7.512810941657322
154,29,42.248550000000002,-71.126959999999997,0,183.319999999999993,Neponset River Reservation I,8766,2.169558708300261,2.926312708923945,1.749261947478767
155,31,42.349089999999997,-71.094989999999996,1,0.180000000000000,BU Yard,8606,0.180000313035249,0.247442209152588,0.147681018917263
156,31,42.349089999999997,-71.094989999999996,1,0.610000000000000,BU Grounds East,8607,0.166040544706169,0.377568971173649,0.225344619115013
157,31,42.349089999999997,-71.094989999999996,1,0.620000000000000,Boylston Street I,8519,0.456184427474031,0.612446058802719,0.365526392225477
158,31,42.349089999999997,-71.094989999999996,1,0.980000000000000,Commonwealth Avenue Mall II,7931,0.980000907675243,1.310280212313935,0.782014990426809
159,31,42.349089999999997,-71.094989999999996,1,1.490000000000000,Charlesgate II,8510,1.186114960939075,1.597973519462689,0.953719086025167
160,31,42.349089999999997,-71.094989999999996,1,2.400000000000000,Boylston Street II,8520,1.877573838318908,1.879189373366592,1.121557240972315
161,31,42.349089999999997,-71.094989999999996,1,2.780000000000000,Fenway Park Field,7925,2.756383752134256,3.724843073254450,2.223099374391326
162,31,42.349089999999997,-71.094989999999996,1,6.520000000000000,Charlesgate I,8751,6.520000948860709,8.893889896864579,5.308143370547393
163,31,42.349089999999997,-71.094989999999996,1,10.869999999999999,Commonwealth Avenue Mall I,8527,0.793421824388394,1.070799343272267,0.639085540870141
164,31,42.349089999999997,-71.094989999999996,1,70.920000000000002,Back Bay Fens,8504,2.599015662353310,3.466217055560054,2.068743519169917
