OBJECTID,Row_Labels,Average_of,Average__1,comm,industry,acres,park,acres_1,AREA,PERCENTAGE
167,195,41.880920000000003,-87.711010000000002,0,0,175.900000000000006,GARFIELD (JAMES),30.063815517335037,39.510075739173757,23.753058573468952
168,196,41.857909999999997,-87.622330000000005,1,0,0.460000000000000,BATTLE OF FORT DEARBORN,0.460000096248718,0.622165896151004,0.374172506856498
169,196,41.857909999999997,-87.622330000000005,1,0,0.510000000000000,LIN (MARGARET HIE DING),0.510000182718928,0.681457471735002,0.409830644997762
170,196,41.857909999999997,-87.622330000000005,1,0,1.080000000000000,ANDERSON (FRED),1.080000300221325,1.591686143900597,0.957245002139253
171,196,41.857909999999997,-87.622330000000005,1,0,3.060000000000000,CHICAGO WOMEN'S PARK AND GARDENS,2.526100652933072,3.572718225819613,2.148643863504805
172,198,41.869059999999998,-87.680850000000007,0,0,2.630000000000000,LIVINGSTON FIELD,2.630000781460703,3.473606008178723,2.088678603920628
173,199,41.898389999999999,-87.624110000000002,1,0,0.330000000000000,CONNORS (WILLIAM),0.329999733798315,0.443634252236059,0.266636584032374
174,199,41.898389999999999,-87.624110000000002,1,0,1.010000000000000,SENECA,1.010000581211286,1.353329404134088,0.813388793967320
175,199,41.898389999999999,-87.624110000000002,1,0,7.200000000000000,LAKE SHORE,3.682420348312170,4.848897883581482,2.914323142280778
176,199,41.898389999999999,-87.624110000000002,1,0,1209.980000000000018,LINCOLN (ABRAHAM),3.243733757930011,4.278934313347285,2.571759107551383
177,200,41.891100000000002,-87.614059999999995,1,0,1.120000000000000,RIVER ESPLANADE,0.854590942826460,1.144485591652368,0.687945158167981
178,200,41.891100000000002,-87.614059999999995,1,0,3.430000000000000,DUSABLE (JEAN BAPTISTE POINTE),3.429999496886652,4.595770141825245,2.762496828428389
179,200,41.891100000000002,-87.614059999999995,1,0,5.780000000000000,ADDAMS (JANE) MEML.,5.780001709221198,5.777457360140187,3.472803717600376
180,200,41.891100000000002,-87.614059999999995,1,0,295.449999999999989,GRANT (ULYSSES),1.006065711481884,1.429575201298777,0.859311244408602
181,200,41.891100000000002,-87.614059999999995,1,0,1209.980000000000018,LINCOLN (ABRAHAM),4.256109393169679,5.614398061885068,3.374789504449015
182,202,41.891089999999998,-87.615179999999995,1,0,1.120000000000000,RIVER ESPLANADE,1.119997595570400,1.499923585167126,0.901597535818256
183,202,41.891089999999998,-87.615179999999995,1,0,1.380000000000000,OGDEN (WILLIAM) PLAZA,0.529916322439725,0.708143016349607,0.425661683609418
184,202,41.891089999999998,-87.615179999999995,1,0,3.430000000000000,DUSABLE (JEAN BAPTISTE POINTE),3.429999496886652,4.595770141825245,2.762497420556977
185,202,41.891089999999998,-87.615179999999995,1,0,5.780000000000000,ADDAMS (JANE) MEML.,5.780001709221198,5.777457360140187,3.472804461980004
186,202,41.891089999999998,-87.615179999999995,1,0,295.449999999999989,GRANT (ULYSSES),0.470811912932905,0.669003055688614,0.402134823686055
187,202,41.891089999999998,-87.615179999999995,1,0,1209.980000000000018,LINCOLN (ABRAHAM),4.206293945082632,5.548684582893975,3.335290141739149
188,203,41.896780000000000,-87.620369999999994,0,0,1.010000000000000,SENECA,1.010000581211286,1.353329404134088,0.813408974623788
189,203,41.896780000000000,-87.620369999999994,0,0,7.200000000000000,LAKE SHORE,7.200001063395306,9.480740006795745,5.698331081882242
190,203,41.896780000000000,-87.620369999999994,0,0,1209.980000000000018,LINCOLN (ABRAHAM),2.531900832057087,3.339928044894543,2.007439901930726
191,205,41.901850000000003,-87.631389999999996,1,0,0.180000000000000,MARIANO (LOUIS),0.180000274299251,0.239183136423670,0.143748077761182
192,205,41.901850000000003,-87.631389999999996,1,0,2.840000000000000,WASHINGTON SQUARE,2.840001048617552,3.807991998072948,2.288587473338194
